     col           wave        flux         sky   synth_sky         snr        flat  trace_upper  trace_lower  trace_mean   trace_fit     fit_res  
  pixels      Angstroms      counts      counts                                            pixel       pixels      pixels      pixels      pixels  
     144   1.584491e+04   1.108e+03   4.035e+00   1.258e-01   4.829e+01   1.130e+00    3.129e+02    2.528e+02   2.829e+02   2.828e+02  -2.963e-02  
     145   1.584513e+04   1.089e+03   2.186e+00   1.258e-01   4.874e+01   1.160e+00    3.127e+02    2.531e+02   2.829e+02   2.828e+02  -8.071e-02  
     146   1.584535e+04   1.085e+03   4.474e+00   1.258e-01   4.803e+01   1.149e+00    3.127e+02    2.530e+02   2.829e+02   2.828e+02  -1.479e-02  
     147   1.584557e+04   1.063e+03   5.045e+00   1.258e-01   4.727e+01   1.146e+00    3.128e+02    2.529e+02   2.828e+02   2.829e+02   1.583e-02  
     148   1.584579e+04   1.083e+03   7.543e+00   1.261e-01   4.702e+01   1.132e+00    3.128e+02    2.529e+02   2.829e+02   2.829e+02   5.584e-03  
     149   1.584600e+04   1.077e+03   5.566e+00   1.785e-01   4.778e+01   1.158e+00    3.127e+02    2.531e+02   2.829e+02   2.829e+02  -1.981e-02  
     150   1.584622e+04   1.196e+03   1.654e+00   3.169e+00   5.244e+01   1.149e+00    3.131e+02    2.530e+02   2.830e+02   2.829e+02  -1.319e-01  
     151   1.584644e+04   1.132e+03   4.055e+00   5.024e+01   4.992e+01   1.152e+00    3.130e+02    2.529e+02   2.829e+02   2.829e+02  -1.497e-02  
     152   1.584666e+04   1.050e+03   6.905e+00   2.356e+02   4.614e+01   1.142e+00    3.129e+02    2.532e+02   2.830e+02   2.829e+02  -7.793e-02  
     153   1.584688e+04   1.095e+03   5.783e+00   3.165e+02   4.895e+01   1.163e+00    3.128e+02    2.531e+02   2.830e+02   2.829e+02  -2.323e-02  
     154   1.584710e+04   1.080e+03   6.946e+00   1.216e+02   4.726e+01   1.139e+00    3.131e+02    2.531e+02   2.831e+02   2.830e+02  -1.152e-01  
     155   1.584731e+04   1.088e+03   5.498e+01   1.344e+01   4.425e+01   1.159e+00    3.128e+02    2.531e+02   2.830e+02   2.830e+02  -5.993e-03  
     156   1.584753e+04   1.175e+03   1.675e+02   5.421e-01   3.971e+01   1.148e+00    3.128e+02    2.531e+02   2.830e+02   2.830e+02   2.114e-02  
     157   1.584775e+04   1.149e+03   2.499e+02   1.295e-01   3.599e+01   1.162e+00    3.130e+02    2.531e+02   2.831e+02   2.830e+02  -6.392e-02  
     158   1.584797e+04   1.077e+03   2.533e+02   1.258e-01   3.361e+01   1.161e+00    3.129e+02    2.531e+02   2.830e+02   2.830e+02   1.452e-02  
     159   1.584819e+04   1.006e+03   2.278e+02   1.258e-01   3.269e+01   1.168e+00    3.127e+02    2.531e+02   2.829e+02   2.830e+02   1.100e-01  
     160   1.584841e+04   1.101e+03   2.405e+02   1.258e-01   3.448e+01   1.142e+00    3.130e+02    2.530e+02   2.830e+02   2.830e+02   1.924e-02  
     161   1.584863e+04   1.156e+03   2.624e+02   1.258e-01   3.546e+01   1.149e+00    3.129e+02    2.531e+02   2.830e+02   2.830e+02   3.629e-02  
     162   1.584884e+04   1.101e+03   2.131e+02   1.258e-01   3.533e+01   1.136e+00    3.131e+02    2.531e+02   2.831e+02   2.831e+02  -1.833e-02  
     163   1.584906e+04   1.065e+03   9.898e+01   1.258e-01   4.019e+01   1.153e+00    3.130e+02    2.532e+02   2.831e+02   2.831e+02  -3.190e-02  
     164   1.584928e+04   1.131e+03   2.330e+01   1.258e-01   4.774e+01   1.145e+00    3.129e+02    2.531e+02   2.830e+02   2.831e+02   6.902e-02  
